locationfactor,X,Y
NTU-35,-81.79903674,7.254478855
NTU-36,-81.79826066,7.254019468
NTU-37,-81.79748459,7.253560081
NTU-38,-81.79670852,7.253100694
NTU-51,-81.7985767,7.255253825
NTU-52,-81.79780062,7.254794437
NTU-53,-81.79702455,7.254335048
NTU-54,-81.79624847,7.25387566
NTU-55,-81.7954724,7.253416271
NTU-56,-81.79469634,7.252956882
NTU-67,-81.79811665,7.256028793
NTU-68,-81.79734057,7.255569404
NTU-69,-81.7965645,7.255110014
NTU-70,-81.79578843,7.254650624
NTU-71,-81.79501236,7.254191234
NTU-72,-81.79423629,7.253731844
NTU-83,-81.7976566,7.25680376
NTU-84,-81.79688053,7.25634437
NTU-85,-81.79610445,7.255884978
NTU-86,-81.79532838,7.255425587
NTU-87,-81.79455231,7.254966195
NTU-88,-81.79377625,7.254506804
NTU-99,-81.79719655,7.257578726
NTU-100,-81.79642048,7.257119333
NTU-101,-81.7956444,7.256659941
NTU-102,-81.79486833,7.256200548
NTU-103,-81.79409226,7.255741155
NTU-104,-81.7933162,7.255281762
NTU-115,-81.7967365,7.25835369
NTU-116,-81.79596042,7.257894296
NTU-117,-81.79518435,7.257434902
NTU-118,-81.79440828,7.256975508
NTU-119,-81.79363221,7.256516113
NTU-120,-81.79285614,7.256056719
NTU-131,-81.79627644,7.259128652
NTU-132,-81.79550037,7.258669257
NTU-133,-81.7947243,7.258209861
NTU-134,-81.79394823,7.257750466
NTU-135,-81.79317216,7.25729107
NTU-136,-81.79239609,7.256831674
NTU-148,-81.79504031,7.259444216
NTU-149,-81.79426424,7.258984819
NTU-150,-81.79348817,7.258525422
NTU-151,-81.7927121,7.258066025
NTU-152,-81.79193604,7.257606628
NTU-153,-81.79115997,7.25714723
NTU-164,-81.79458025,7.260219173
NTU-165,-81.79380418,7.259759775
NTU-166,-81.79302811,7.259300377
NTU-167,-81.79225204,7.258840978
NTU-168,-81.79147598,7.258381579
NTU-169,-81.79069991,7.25792218
TU-135,-81.82270896,7.272606185
TU-137,-81.82156498,7.271212686
TU-139,-81.82042101,7.26981919
TU-141,-81.81927704,7.268425696
TU-150,-81.82258318,7.273874087
TU-151,-81.82201119,7.273177336
TU-152,-81.8214392,7.272480586
TU-153,-81.82086721,7.271783837
TU-154,-81.82029523,7.271087088
TU-155,-81.81972324,7.270390339
TU-156,-81.81915126,7.269693591
TU-157,-81.81857928,7.268996844
TU-158,-81.8180073,7.268300097
TU-166,-81.8218854,7.274445237
TU-167,-81.82131342,7.273748486
TU-168,-81.82074143,7.273051735
TU-169,-81.82016944,7.272354985
TU-170,-81.81959746,7.271658235
TU-171,-81.81902547,7.270961486
TU-172,-81.81845349,7.270264738
TU-173,-81.81788151,7.269567989
TU-174,-81.81730953,7.268871242
TU-181,-81.82175962,7.275713137
TU-182,-81.82118763,7.275016385
TU-183,-81.82061564,7.274319633
TU-184,-81.82004365,7.273622881
TU-185,-81.81947167,7.272926131
TU-186,-81.81889968,7.27222938
TU-187,-81.8183277,7.271532631
TU-188,-81.81775572,7.270835881
TU-189,-81.81718374,7.270139133
TU-190,-81.81661177,7.269442384
TU-197,-81.82106183,7.276284283
TU-198,-81.82048985,7.27558753
TU-199,-81.81991786,7.274890777
TU-200,-81.81934588,7.274194025
TU-201,-81.81877389,7.273497274
TU-202,-81.81820191,7.272800523
TU-203,-81.81762993,7.272103773
TU-204,-81.81705795,7.271407023
TU-205,-81.81648598,7.270710274
TU-206,-81.815914,7.270013525
TU-213,-81.82036405,7.276855426
TU-214,-81.81979206,7.276158673
TU-215,-81.81922008,7.27546192
TU-216,-81.8186481,7.274765167
TU-217,-81.81807612,7.274068415
TU-218,-81.81750414,7.273371664
TU-219,-81.81693216,7.272674913
TU-220,-81.81636018,7.271978162
TU-221,-81.8157882,7.271281412
TU-222,-81.81521623,7.270584663
